      1 Acetatifactor muris
      1 Alistipes senegalensis
      1 Alistipes sp.
      1 Alphaproteobacteria bacterium
      1 Anaerostipes sp.
      1 Arthrobacter sp.
      1 Bacillus subtilis;Ruminococcus
      1 Bacillus subtilis;Ruminococcus
      1 Bacteroides finegoldii
      1 Bacteroides finegoldii
      1 Bacteroides luti
      1 Bacteroidetes endosymbiont
      1 Bacteroidetes endosymbiont
      1 Bacteroidetes endosymbiont
      1 Bacteroidetes endosymbiont
      1 Bacteroidetes endosymbiont
      1 Butyricicoccus porcorum
      1 Butyricicoccus porcorum
      1 Christensenella sp.
      1 Clostridiales bacterium
      1 Clostridiales bacterium
      1 Clostridiales bacterium
      1 Clostridiales bacterium
      1 Clostridium sp.
      1 Clostridium sp.
      1 Eubacterium coprostanoligenes
      1 Eubacterium coprostanoligenes
      1 Falcatimonas natans
      1 Flavonifractor plautii
      1 Flavonifractor plautii
      1 Friedmanniella sp.
      1 Friedmanniella sp.
      1 Friedmanniella sp.
      1 Gram-negative bacterium
      1 Gram-negative bacterium
      1 Knoellia sp.
      1 Lachnospiraceae bacterium
      1 Lachnospiraceae bacterium
      1 Lactobacillales bacterium
      1 Lactobacillales bacterium
      1 Massilia aurea
      1 Massilia brevitalea
      1 Massilimaliae massiliensis
      1 Microbacterium sp.
      1 Microbacterium sp.
      1 Murimonas intestini
      1 Mycolicibacterium pyrenivorans
      1 Staphylococcus saccharolyticus
      1 Staphylococcus succinus
      1 Streptomyces sp.
      1 TM7 phylum
      1 [Clostridium] aminophilum
      1 [Clostridium] aminophilum
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium AC2028
      1 bacterium AC2028
      1 bacterium AC2028
      1 bacterium FE2016
      1 bacterium Iso11_2
      1 bacterium NE3006
      1 bacterium NLAE-zl-G12
      1 bacterium NLAE-zl-G12
      1 bacterium NLAE-zl-H350
      1 bacterium YGD2004
      1 mixed culture
      1 rumen bacterium
      1 rumen bacterium
      2 Bacteroidetes endosymbiont
      2 Bacteroidetes endosymbiont
      2 Bacteroidetes endosymbiont
      2 Bacteroidetes endosymbiont
      2 Candidatus Melainabacteria
      3 Bacteroidetes endosymbiont
      4 Bacteroidetes endosymbiont
      4 Bacteroidetes endosymbiont
      4 Bacteroidetes endosymbiont
      4 Bacteroidetes endosymbiont
      4 Bacteroidetes endosymbiont
      4 Bacteroidetes endosymbiont
      4 Bacteroidetes endosymbiont
      5 Bacteroidetes endosymbiont
      5 Bacteroidetes endosymbiont
      5 Bacteroidetes endosymbiont
      6 Bacteroidetes endosymbiont
      6 Bacteroidetes endosymbiont
      7 Bacteroidetes endosymbiont
      7 Bacteroidetes endosymbiont
      7 Bacteroidetes endosymbiont
      7 Bacteroidetes endosymbiont
      9 Bacteroidetes endosymbiont
      9 Bacteroidetes endosymbiont
      9 Bacteroidetes endosymbiont
     10 Bacteroidetes endosymbiont
     10 Bacteroidetes endosymbiont
     10 Bacteroidetes endosymbiont
     11 Bacteroidetes endosymbiont
     11 Bacteroidetes endosymbiont
     12 Bacteroidetes endosymbiont
     12 Bacteroidetes endosymbiont
     12 Bacteroidetes endosymbiont
     13 Bacteroidetes endosymbiont
     13 Bacteroidetes endosymbiont
     13 Bacteroidetes endosymbiont
     14 Bacteroidetes endosymbiont
     14 Bacteroidetes endosymbiont
     14 Bacteroidetes endosymbiont
     15 Bacteroidetes endosymbiont
     15 Bacteroidetes endosymbiont
     16 Bacteroidetes endosymbiont
     17 Bacteroidetes endosymbiont
     18 Bacteroidetes endosymbiont
     20 Bacteroidetes endosymbiont
     20 Bacteroidetes endosymbiont
     21 Bacteroidetes endosymbiont
     22 Bacteroidetes endosymbiont
     24 Bacteroidetes endosymbiont
     24 Bacteroidetes endosymbiont
     25 Bacteroidetes endosymbiont
     27 Bacteroidetes endosymbiont
     28 Bacteroidetes endosymbiont
     33 Bacteroidetes endosymbiont
     33 Bacteroidetes endosymbiont
     44 Bacteroidetes endosymbiont
     47 Bacteroidetes endosymbiont
     65 Bacteroidetes endosymbiont
