      1 Firmicutes bacterium
      1 Firmicutes bacterium
      1 Flavisolibacter sp.
      1 Flintibacter butyricus
      1 Friedmanniella sp.
      1 Gordonia hydrophobica
      1 Gordonia hydrophobica
      1 Gordonia hydrophobica
      1 Gordonia hydrophobica
      1 Gordonia hydrophobica
      1 Gordonia hydrophobica
      1 Gordonia hydrophobica
      1 Gordonia hydrophobica
      1 Gordonia hydrophobica
      1 Gordonia hydrophobica
      1 Gordonia hydrophobica
      1 Gordonia hydrophobica
      1 Gordonia hydrophobica
      1 Gordonia hydrophobica
      1 Gordonia hydrophobica
      1 Haemonchus placei
      1 Knoellia sp.
      1 Kribbella sp.
      1 Lachnobacterium sp.
      1 Lachnospiraceae bacterium
      1 Lachnospiraceae bacterium
      1 Lachnospiraceae bacterium
      1 Lachnospiraceae bacterium
      1 Lachnospiraceae bacterium
      1 Lactobacillales bacterium
      1 Lactobacillales bacterium
      1 Lactobacillales bacterium
      1 Lactobacillales bacterium
      1 Lactobacillales bacterium
      1 Lactobacillus animalis
      1 Lactobacillus animalis
      1 Magnetospirillum magnetotacticum
      1 Marmoricola solisilvae
      1 Marseillibacter massiliensis
      1 Marseillibacter massiliensis
      1 Marseillibacter massiliensis
      1 Massilia aurea
      1 Massilia aurea
      1 Massilia aurea
      1 Massilia aurea
      1 Massilia namucuonensis
      1 Massilia psychrophila
      1 Massilia psychrophila
      1 Massilia sp.
      1 Massilia sp.
      1 Massilia timonae
      1 Massilioclostridium coli
      1 Methylobacterium sp.
      1 Micrococcaceae bacterium
      1 Micrococcaceae bacterium
      1 Micrococcaceae bacterium
      1 Micrococcaceae bacterium
      1 Microvirga soli
      1 Mobiluncus sp.
      1 Modestobacter multiseptatus
      1 Mycolicibacterium monacense
      1 Negativibacillus massiliensis
      1 Neglecta timonensis
      1 Nocardioides sp.
      1 Nocardioides sp.
      1 Nocardioides sp.
      1 Nocardioides sp.
      1 Nocardioides sp.
      1 Nocardiopsis exhalans
      1 Nocardiopsis exhalans
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
